Time Step,difference,close,far,ratio
,,,,
436,19.38819282,97.39892104,78.01072822,0.800940374
,,,,
437,19.37046006,97.60383774,78.23337768,0.801539975
,,,,
438,19.66378282,97.91651381,78.25273099,0.799178075
,,,,
439,19.46273945,98.03962321,78.57688376,0.801480883
,,,,
440,19.57935954,98.24709357,78.66773403,0.800713092
,,,,
441,19.50892929,98.44563723,78.93670794,0.801830433
,,,,
442,19.54988627,98.63426808,79.08438181,0.801794177
,,,,
443,19.53894631,98.72630354,79.18735723,0.802089761
,,,,
444,19.60338519,98.99893683,79.39555163,0.801983882
,,,,
445,19.45065197,99.1266472,79.67599524,0.803779786
,,,,
446,19.70973107,99.35083211,79.64110104,0.801614836
,,,,
447,19.49051328,99.44309218,79.9525789,0.804003346
,,,,
448,19.81728263,99.77631051,79.95902788,0.801382888
,,,,
449,19.50276954,99.81248711,80.30971757,0.804605915
,,,,
450,19.76099473,100.1645765,80.4035818,0.802714738
,,,,
451,19.53463256,100.1300806,80.59544802,0.804907452
,,,,
